id,date,polarity,subjectivity,compound
506,2009-01-05,0.15,0.42,0.99
510,2009-01-05,0.08,0.33,0.23
507,2009-01-05,0.18,0.49,0.97
512,2009-01-05,0.05,0.44,0.99
511,2009-01-05,0.09,0.37,0.99
513,2009-01-05,0.06,0.37,0.99
515,2009-01-05,0.1,0.36,1.0
474,2009-01-07,0.03,0.33,-0.96
516,2009-01-05,0.29,0.43,0.9
501,2009-01-07,-0.02,0.49,-0.99
514,2009-01-05,0.03,0.39,-0.68
517,2009-01-05,0.07,0.37,0.97
508,2009-01-05,0.07,0.3,0.23
518,2009-01-05,0.06,0.34,-0.87
519,2009-01-05,-0.02,0.49,-0.94
509,2009-01-05,0.07,0.36,0.96
521,2009-01-05,0.12,0.51,0.96
520,2009-01-05,0.04,0.41,0.99
523,2009-01-05,0.0,0.46,1.0
526,2009-01-05,0.05,0.24,0.99
527,2009-01-05,0.05,0.44,0.96
525,2009-01-05,0.14,0.4,1.0
522,2009-01-05,0.06,0.44,-0.27
528,2009-01-05,0.12,0.38,0.99
524,2009-01-05,0.11,0.53,0.99
530,2009-01-05,0.09,0.4,0.97
529,2009-01-05,0.06,0.38,0.95
531,2009-01-05,0.03,0.41,1.0
532,2009-01-05,0.1,0.35,1.0
533,2009-01-05,-0.05,0.42,0.02
537,2009-01-05,0.07,0.27,0.77
535,2009-01-05,0.12,0.42,0.98
538,2009-01-05,0.04,0.23,1.0
540,2009-01-05,-0.06,0.46,-0.95
539,2009-01-05,0.12,0.4,0.99
536,2009-01-05,0.02,0.2,0.96
534,2009-01-05,0.18,0.53,-0.1
541,2009-01-05,0.16,0.51,0.95
542,2009-01-05,0.07,0.28,-0.03
544,2009-01-05,0.03,0.37,-0.85
543,2009-01-05,0.04,0.26,0.99
545,2009-01-05,0.07,0.4,0.79
549,2009-01-05,0.05,0.34,0.97
546,2009-01-05,0.07,0.45,0.95
550,2009-01-05,0.02,0.49,0.32
552,2009-01-05,0.14,0.34,0.94
553,2009-01-05,0.05,0.45,0.85
554,2009-01-05,0.01,0.27,-0.68
547,2009-01-05,0.0,0.37,0.87
548,2009-01-05,-0.01,0.37,0.96
555,2009-01-05,-0.04,0.3,-0.4
556,2009-01-05,0.08,0.35,0.81
557,2009-01-05,0.1,0.5,0.92
558,2009-01-05,-0.01,0.26,-0.88
559,2009-01-05,0.04,0.28,-0.98
551,2009-01-05,0.14,0.52,-0.49
562,2009-01-05,0.1,0.47,0.56
563,2009-01-05,0.07,0.37,-0.96
564,2009-01-05,0.1,0.5,-0.99
565,2009-01-05,-0.05,0.42,0.02
560,2009-01-05,0.06,0.33,0.98
567,2009-01-09,0.08,0.33,0.89
566,2009-01-09,-0.01,0.37,0.59
568,2009-01-09,-0.05,0.25,-0.77
561,2009-01-05,0.04,0.37,-0.97
569,2009-01-09,-0.05,0.2,0.2
570,2009-01-09,0.15,0.39,0.94
571,2009-01-09,0.01,0.27,-0.15
573,2009-01-09,0.13,0.44,0.97
574,2009-01-09,-0.0,0.15,0.92
575,2009-01-09,0.04,0.3,-0.15
579,2009-01-09,0.13,0.4,0.5
581,2009-01-09,0.19,0.39,0.6
572,2009-01-09,0.17,0.44,0.96
580,2009-01-09,0.18,0.49,0.99
582,2009-01-09,0.02,0.31,0.48
583,2009-01-09,0.01,0.38,-0.74
576,2009-01-09,0.13,0.35,0.8
584,2009-01-09,0.0,0.26,-0.8
587,2009-01-09,0.1,0.28,0.92
586,2009-01-09,0.12,0.39,0.96
588,2009-01-09,0.1,0.28,0.92
585,2009-01-09,-0.01,0.35,-0.18
590,2009-01-09,0.04,0.44,0.99
591,2009-01-09,0.04,0.52,-0.95
592,2009-01-09,0.07,0.3,0.94
593,2009-01-09,0.07,0.3,0.94
597,2009-01-09,0.11,0.43,0.99
596,2009-01-09,0.19,0.48,0.97
595,2009-01-09,-0.08,0.28,0.78
589,2009-01-09,0.08,0.43,0.9
594,2009-01-09,0.07,0.46,0.27
578,2009-01-09,0.03,0.46,0.95
598,2009-01-09,0.11,0.43,0.99
599,2009-01-09,0.1,0.5,-0.95
600,2009-01-09,0.11,0.42,0.99
601,2009-01-09,-0.03,0.61,-0.68
604,2009-01-09,0.07,0.39,-0.64
606,2009-01-09,0.13,0.4,-1.0
603,2009-01-09,0.11,0.34,0.99
602,2009-01-09,0.07,0.3,0.94
608,2009-01-09,-0.01,0.44,0.61
605,2009-01-09,0.08,0.55,-0.99
610,2009-01-09,0.17,0.55,0.4
607,2009-01-09,-0.06,0.42,-0.99
609,2009-01-09,0.0,0.41,-0.98
577,2009-01-09,0.06,0.36,-0.94
613,2009-01-09,0.05,0.3,0.96
615,2009-01-09,-0.07,0.35,0.73
611,2009-01-09,0.07,0.35,1.0
616,2009-01-09,-0.03,0.42,-0.1
620,2009-01-09,0.02,0.24,0.99
618,2009-01-09,0.12,0.37,-0.87
614,2009-01-09,0.1,0.42,0.99
619,2009-01-09,0.07,0.29,0.48
621,2009-01-09,0.08,0.23,0.96
617,2009-01-09,0.12,0.37,-0.87
612,2009-01-09,-0.08,0.31,-0.98
623,2009-01-09,0.03,0.34,0.93
624,2009-01-09,0.15,0.45,0.99
625,2009-01-09,0.11,0.5,0.96
622,2009-01-09,0.08,0.23,0.98
626,2009-01-09,0.05,0.29,-0.3
628,2009-01-09,0.01,0.41,-0.7
630,2009-01-09,0.05,0.32,0.99
633,2009-01-08,0.21,0.47,0.95
632,2009-01-08,-0.02,0.27,0.83
634,2009-01-08,-0.01,0.22,-0.83
627,2009-01-09,-0.02,0.44,0.83
635,2009-01-08,-0.0,0.15,0.78
639,2009-01-08,0.0,0.46,0.46
629,2009-01-09,-0.0,0.42,0.74
631,2009-01-08,-0.16,0.4,-0.15
636,2009-01-08,0.09,0.47,0.89
638,2009-01-08,0.1,0.38,-0.83
637,2009-01-08,-0.02,0.31,0.87
641,2009-01-08,0.09,0.39,-0.05
642,2009-01-08,0.06,0.27,-0.82
643,2009-01-08,0.05,0.28,0.13
649,2009-01-08,-0.03,0.87,0.15
648,2009-01-08,0.11,0.28,-0.59
