date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2008-11-20,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-21,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-22,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-23,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-24,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-25,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-26,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-27,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-28,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-29,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-30,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-01,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-02,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-03,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-04,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-05,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-06,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-07,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-08,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-09,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-10,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-11,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-12,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-13,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-14,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-15,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-16,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-17,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-18,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-19,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-20,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-21,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-22,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-23,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-24,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-25,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-26,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-12-27,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
