date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2008-09-29,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-30,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2015-10-01,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-02,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-03,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-04,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-05,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-06,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-07,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-08,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-09,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-10,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-11,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-12,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-13,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-14,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-15,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-16,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-17,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-18,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-10-19,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
