shap_value,feature
-1.0192247096998262e-05,volatility_kcw_20
-1.0881516970860456e-05,trend_aroon_ind_100
-1.0891081822201056e-05,trend_macd_10
-1.2305594507311456e-05,trend_vortex_ind_neg_200
-1.2525714961550666e-05,trend_ema_slow
-1.3056407635203843e-05,trend_kst_sig_50
-1.3518180633485947e-05,momentum_ppo_hist_20
-1.3575686641989316e-05,trend_sma_fast_200
-1.3934798381543147e-05,trend_vortex_ind_diff_200
-1.4480503835523087e-05,volatility_dcm_200
-1.7400202129027433e-05,trend_mass_index_100
-1.7754509675509862e-05,momentum_stoch_rsi_d_5
-1.8276119638981846e-05,volatility_dcp_100
-1.8487998096302758e-05,volatility_kcw_50
-1.9386535244753234e-05,high_50
-2.051167680812988e-05,trend_macd_200
-2.085581762928497e-05,momentum_roc_200
-2.6332765874805874e-05,volatility_bbh_100
