Scrip Code,COMPANY,ISIN No.,Close Price
530005,India Cements Ltd,INE383A01012,223.1
535789,Indiabulls Housing Finance Limited,INE148I01020,113.1
532832,Indiabulls Real Estate Ltd,INE069I01010,61.61
542726,Indiamart Intermesh Limited,INE933S01016,5907.9
532814,Indian Bank,INE562A01011,283
540750,Indian Energy Exchange Ltd,INE022Q01020,128.7
500850,Indian Hotels Co Ltd,INE053A01029,396.1
530965,Indian Oil Corp Ltd,INE242A01010,91.85
532388,Indian Overseas Bank,INE565A01014,24.19
542830,Indian Railway Catering and Tourism Corporation Ltd,INE335Y01020,667.55
543257,Indian Railway Finance Corporation Limited,INE053F01010,33
543258,Indigo Paints Ltd,INE09VQ01012,1420.85
532514,Indraprastha Gas Ltd,INE203G01027,458.85
534816,Indus Towers Ltd,INE121J01017,160.65
532187,IndusInd Bank Ltd,INE095A01012,1301.2
539807,Infibeam Avenues Ltd,INE483S01020,15.83
532777,Info Edge (India) Ltd.,INE663F01024,4438.25
500209,Infosys Ltd,INE009A01021,1295.25
538835,Intellect Design Arena Ltd.,INE306R01017,616
539448,InterGlobe Aviation Ltd,INE646L01027,2432.7
524494,Ipca Laboratories Ltd,INE571A01038,728.8
532947,IRB Infrastructure Developers Ltd,INE821I01022,26.82
541956,IRCON International Ltd,INE962Y01021,84.17
500875,ITC Ltd,INE154A01025,453.5
523610,ITI Ltd,INE248A01017,108.65
506943,J.B.Chemicals & Pharmaceuticals Ltd.,INE572A01028,2347
532644,J.K. Cement Ltd.,INE823G01014,3370.55
520051,Jamna Auto Industries Ltd,INE039C01032,96.48
532508,Jindal Stainless Ltd.,INE220G01021,327.65
532286,Jindal Steel & Power Ltd,INE749A01030,574.75
531543,Jindal Worldwide Ltd.,INE247D01039,334.65
500380,JK Lakshmi Cement Ltd,INE786A01032,728
532162,JK Paper Ltd.,INE789E01012,323.7
523405,JM Financial Ltd,INE780C01023,75.04
533148,JSW Energy Ltd,INE121E01018,253.5
500228,JSW Steel Ltd,INE019A01038,771.55
533155,Jubilant FoodWorks Ltd,INE797F01020,493.9
543271,Jubilant Ingrevia Limited,INE0BY001018,463.25
530019,Jubilant Pharmova Sciences Ltd,INE700A01033,409.3
535648,Just Dial Ltd,INE599M01018,769.55
532926,Jyothy Labs Ltd,INE668F01031,213.65
500233,Kajaria Ceramics Ltd.,INE217B01036,1289.65
522287,Kalpataru Projects International Ltd,INE220B01022,544.4
543278,Kalyan Jewellers India Ltd,INE303R01014,132.85
500165,Kansai Nerolac Paints Ltd.,INE531A01024,459.85
532714,KEC International Ltd/India,INE389H01022,570.1
517569,KEI Industries Ltd,INE878B01027,2239.15
540680,KIOCL Ltd,INE880L01014,191.5
532942,KNR Constructions Ltd,INE634I01029,245.65
500247,Kotak Mahindra Bank Ltd,INE237A01028,1823.95
542651,KPIT Technologies Ltd,INE04I401011,1072
532889,KPR Mill Ltd,INE930H01031,637.3
530813,KRBL Ltd,INE001B01026,351.65
543308,Krishna Institute of Medical Sciences Ltd,INE967H01017,1700.05
500249,KSB Ltd,INE999A01015,2179.45
533519,L&T Finance Holdings Ltd,INE498L01015,118.1
540115,L&T Technology Services Ltd,INE010V01017,3908.5
526947,La Opala Rg Ltd.,INE059D01020,406.5
500252,Lakshmi Machine Works Ltd,INE269B01029,12815.4
500510,Larsen & Toubro Ltd,INE018A01030,2363.2
543398,Latent View Analytics Ltd,INE0I7C01011,351.45
540222,Laurus Labs Ltd,INE947Q01028,364.55
543277,Laxmi Organic Industries Ltd,INE576O01020,266
541233,Lemon Tree Hotels Ltd,INE970X01018,94.69
500253,LIC Housing Finance Ltd,INE115A01026,384.35
543526,Life Insurance Corporation of India,INE0J1Y01017,618.3
523457,Linde India Ltd,INE473A01011,4362.55
512455,Lloyds Metals & Energy Ltd.,INE281B01032,380.65
540005,LTIMindtree Ltd,INE214T01019,5049.7
500257,Lupin Ltd,INE326A01037,825.15
543287,Macrotech Developers Ltd,INE670K01029,629.95
539957,Mahanagar Gas Ltd,INE002S01010,1031.45
500266,Maharashtra Scooters Ltd.,INE288A01013,5439.55
532720,Mahindra & Mahindra Financial Services Ltd,INE774D01024,316.4
500520,Mahindra & Mahindra Ltd,INE101A01026,1403.3
533088,Mahindra Holidays & Resorts India Ltd,INE998I01010,289.6
532313,Mahindra Lifespace Developers Ltd,INE813A01018,463.35
531213,Manappuram Finance Ltd,INE522D01027,127.15
500109,Mangalore Refinery & Petrochemicals Ltd,INE103A01014,78.7
531642,Marico Ltd,INE196A01026,535.4
532500,Maruti Suzuki India Ltd,INE585B01010,9526.9
540749,MAS Financial Services Ltd,INE348L01012,772.2
523704,Mastek Ltd,INE759A01021,1982.15
500271,Max Financial Services Ltd,INE180A01020,688.95
543220,Max Healthcare Institute Ltd,INE027H01010,601.35
543237,Mazagon Dock Shipbuilders Ltd,INE249Z01012,1218
543427,Medplus Health Services Ltd,INE804L01022,800.35
543426,Metro Brands Ltd,INE317I01021,988.8
542650,Metropolis Healthcare Ltd,INE112L01020,1374.5
538962,Minda Corporation Ltd,INE842C01021,286.15
541195,Mishra Dhatu Nigam Ltd,INE099Z01011,283.95
513377,MMTC LTD,INE123F01029,32.36
543498,Motherson Sumi Wiring India Ltd,INE0FS801015,57.76
532892,Motilal Oswal Financial Services Ltd,INE338I01027,714.9
526299,MphasiS Ltd,INE356A01018,1873.1
500290,MRF Ltd,INE883A01011,99735.35
534091,Multi Commodity Exchange of India Limited,INE745G01035,1570.2
533398,Muthoot Finance Ltd,INE414G01012,1180.65
539551,Narayana Hrudayalaya Ltd,INE410P01011,1006.65
524816,Natco Pharma Ltd,INE987B01026,631.25
532234,National Aluminium Co Ltd,INE139A01034,84.6
532504,Navin Fluorine International Ltd.,INE048G01026,4641.2
534309,NBCC (India) Ltd,INE095N01031,41.18
500294,NCC Ltd/India,INE868B01028,120.15
505355,Nesco Ltd.,INE317F01035,635
500790,Nestle India Ltd,INE239A01016,22784.6
532798,Network 18 Media & Investments Ltd,INE870H01013,66.53
533098,NHPC Ltd,INE848E01016,45.54
540767,Nippon Life India Asset Management Ltd,INE298J01013,245.85
513683,NLC India Ltd,INE589A01014,96.84
526371,NMDC Ltd,INE584A01023,106.2
500730,NOCIL Ltd.,INE163A01018,218.95
532555,NTPC Ltd,INE733E01010,185.7
543334,Nuvoco Vistas Corporation Ltd,INE118D01016,353
533273,Oberoi Realty Ltd,INE093I01010,1008.4
500312,Oil & Natural Gas Corp Ltd,INE213A01029,157.7
533106,Oil India Ltd,INE274J01014,253.95
543396,One 97 Communications Ltd,INE982J01020,870.75
532466,Oracle Financial Services Software Ltd,INE881D01027,3866
541301,Orient Electric Ltd,INE142Z01019,244.45
532827,Page Industries Ltd,INE761H01022,38824.85
500368,Patanjali Foods Limited,INE619A01035,1165.55
543390,PB Fintech Ltd,INE417T01026,661.15
506590,PCBL Ltd,INE602A01031,157.85
533179,Persistent Systems Ltd,INE262H01013,4939.45
532522,Petronet LNG Ltd,INE347G01014,225.85
500680,Pfizer Ltd (India),INE182A01018,3845.65
503100,Phoenix Mills Ltd,INE211B01039,1568.25
523642,PI Industries Ltd,INE603J01030,3855.7
500331,Pidilite Industries Ltd,INE318A01026,2670.95
500302,Piramal Enterprises Ltd,INE140A01024,792.35
543635,Piramal Pharma Ltd,INE0DK501011,93.93
540173,PNB Housing Finance Ltd,INE572E01012,570.45
539150,PNC Infratech Ltd,INE195J01029,332.8
531768,Poly Medicure Ltd,INE205C01021,1145.45
542652,Polycab India Ltd,INE455K01017,3531.45
524051,Polyplex Corp. Ltd.,INE633B01018,1355.5
524000,Poonawalla Fincorp Ltd,INE511C01022,341.25
532810,Power Finance Corp Ltd,INE134E01011,197.3
532898,Power Grid Corp of India Ltd,INE752E01010,243
522205,Praj Industries Ltd,INE074A01025,393.1
533274,Prestige Estates Projects Ltd,INE811K01011,569
542907,Prince Pipes and Fittings Ltd,INE689W01016,672.1
500338,Prism Johnson Ltd,INE010A01011,127.75
530117,Privi Speciality Chemicals Ltd,INE959A01019,1101.35
500126,Procter & Gamble Health Limited,INE199A01012,5078.6
500459,Procter & Gamble Hygiene & Health Care Ltd,INE179A01014,13918.4
533295,Punjab & Sind Bank,INE608A01012,31.32
532461,Punjab National Bank,INE160A01022,51.98
532689,PVR INOX Ltd,INE191H01014,1423.5
539978,Quess Corp Ltd,INE615P01015,434.15
532497,Radico Khaitan Ltd,INE944F01028,1196.45
542649,Rail Vikas Nigam Ltd,INE415G01027,124.4
500339,Rain Industries Limited,INE855B01025,172.75
543524,Rainbow Children's Medicare Ltd,INE961O01016,961.55
531500,Rajesh Exports Ltd,INE343B01030,565.95
500355,Rallis India Ltd,INE613A01020,193.75
500260,Ramco Cements Ltd,INE331A01037,934.4
524230,Rashtriya Chemicals & Fertilizers Ltd.,INE027A01015,108.6
520111,Ratnamani Metals & Tubes Ltd,INE703B01027,2325.95
500330,Raymond Ltd.,INE301A01014,1731.4
540065,RBL Bank Ltd,INE976G01028,171.95
532955,REC Ltd,INE020B01018,153.05
532805,Redington Ltd,INE891D01026,187.3
530517,Relaxo Footwears Ltd,INE131B01039,909.75
500325,Reliance Industries Ltd,INE002A01018,2551.5
543248,Restaurant Brands Asia Ltd,INE07T201019,113.25
534076,Rhi Magnesita India Ltd,INE743M01012,673.05
541556,RITES Ltd,INE320J01015,393.75
543213,Rossari Biotech Ltd,INE02A801020,848.25
543228,Route Mobile Ltd,INE450U01017,1572.45
517334,Samvardhana Motherson International Ltd,INE775A01035,81.16
500674,Sanofi India Ltd,INE058A01010,6849.6
543397,Sapphire Food India Ltd,INE806T01012,1374.15
532163,Saregama India Ltd,INE979A01025,340.55
543066,SBI Cards and Payment Services Limited,INE018E01016,905.5
540719,SBI Life Insurance Company Ltd,INE123W01016,1280.7
505790,Schaeffler India Ltd,INE513A01022,3186.85
540203,Sheela Foam Ltd,INE916U01025,1197.6
532638,Shoppers Stop Ltd,INE498B01024,804.15
500387,Shree Cement Ltd,INE070A01015,25977.45
532670,Shree Renuka Sugars Ltd,INE087H01022,43.34
511218,Shriram Finance Ltd,INE721A01013,1469.6
543299,Shyam Metalics and Energy Ltd,INE810G01011,349.55
500550,Siemens India Ltd,INE003A01024,3806.1
540673,SIS Limited,INE285J01028,406.1
533206,SJVN Ltd,INE002L01015,38.5
500472,SKF India Ltd,INE640A01023,4795.95
532784,Sobha Limited,INE671H01015,550.15
532725,Solar Industries India Ltd,INE343H01029,3831.3
543300,Sona BLW Precision Forgings Ltd,INE073K01018,522.1
532221,Sonata Software Ltd,INE269A01021,1015.5
503806,SRF Ltd,INE647A01010,2404.7
540575,Star Cement Ltd,INE460H01021,143.6
543412,Star Health and Allied Insurance Company Ltd,INE575P01011,541.5
500112,State Bank of India,INE062A01020,568.8
500113,Steel Authority of India Ltd,INE114A01011,85.9
542760,Sterling and Wilson Renewable Energy Ltd,INE00M201021,305.45
532374,Sterlite Technologies Ltd.,INE089C01029,151.5
542920,Sumitomo Chemical India Ltd,INE258G01013,428.15
532872,Sun Pharma Advanced Research Co Ltd,INE232I01014,196.4
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,1001.25
532733,Sun TV Network Ltd,INE424H01027,442.9
520056,Sundaram Clayton Ltd,INE105A01035,4777.25
500403,Sundaram Fastners,INE387A01021,1193
512179,Sunteck Realty Ltd,INE805D01034,283.65
509930,Supreme Industries,INE195A01028,2990.65
500405,Supreme Petrochem Ltd.,INE663A01033,412.45
543064,Suven Pharmaceuticals Limited,INE03QK01018,486.45
532667,Suzlon Energy Ltd,INE040H01021,14.53
503310,Swan Energy Ltd.,INE665A01038,234.2
517385,Symphony Ltd,INE225D01027,910.05
539268,Syngene International Ltd,INE398R01022,742.95
543596,Tamilnad Mercantile Bank Ltd,INE668A01016,425.85
532790,Tanla Platforms Ltd,INE483C01032,1029.3
500770,Tata Chemicals Ltd,INE092A01019,978.95
532301,Tata Coffee Ltd.,INE493A01027,248.5
500483,Tata Communications Ltd,INE151A01013,1590.65
